Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1162,0.0,0.0,0.0,7519.175453712626,7519.175453712626
t1163,0.0,0.0,0.0,6536.779376386069,6536.779376386069
t1164,0.0,0.0,0.0,8356.593544244546,8356.593544244546
t1165,0.0,0.0,0.0,8324.593544244546,8324.593544244546
t1166,0.0,0.0,0.0,8006.786400258599,8006.786400258599
t1167,0.0,0.0,0.0,6577.415089689534,6577.415089689534
t1168,0.0,0.0,0.0,4331.819313159451,4331.819313159451
t1169,0.0,0.0,0.0,1066.7202842696213,1066.7202842696213
t1170,0.0,0.0,0.0,0.0,0.0
t1171,0.0,0.0,0.0,5822.001580696457,5822.001580696457
t1172,0.0,0.0,0.0,-0.0,0.0
t1173,0.0,0.0,0.0,-0.0,0.0
t1174,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1175,0.0,0.0,0.0,5672.877725475746,5672.877725475746
t1176,0.0,0.0,0.0,-0.0,0.0
t1177,0.0,0.0,0.0,0.0,0.0
t1178,0.0,0.0,0.0,0.0,0.0
t1179,0.0,0.0,0.0,0.0,0.0
t1180,0.0,0.0,0.0,0.0,0.0
t1181,0.0,0.0,0.0,0.0,0.0
t1182,0.0,0.0,0.0,0.0,0.0
t1183,0.0,0.0,0.0,0.0,0.0
t1184,0.0,0.0,0.0,0.0,0.0
t1185,0.0,0.0,0.0,-0.0,0.0
t1186,0.0,0.0,0.0,3978.986419521254,3978.986419521254
t1187,0.0,0.0,0.0,8855.244292815243,8855.244292815243
t1188,0.0,0.0,0.0,7489.645291813192,7489.645291813192
t1189,0.0,0.0,0.0,7346.814757845819,7346.814757845819
t1190,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1191,0.0,0.0,0.0,5074.323334076045,5074.323334076045
t1192,0.0,0.0,0.0,6042.329498695158,6042.329498695158
t1193,0.0,0.0,0.0,4116.959507621038,4116.959507621038
t1194,0.0,0.0,0.0,329.53790770925997,329.53790770925997
t1195,0.0,0.0,0.0,25.248771949155646,25.248771949155646
t1196,0.0,0.0,0.0,1656.0295940826259,1656.0295940826259
t1197,0.0,0.0,0.0,4160.124142540598,4160.124142540598
t1198,0.0,0.0,0.0,5558.622514101781,5558.622514101781
t1199,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1200,0.0,0.0,0.0,-0.0,0.0
t1201,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1202,0.0,0.0,0.0,5755.498395031871,5755.498395031871
t1203,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1204,0.0,0.0,0.0,8112.559032683929,8112.559032683929
t1205,0.0,0.0,0.0,9052.103600837656,9052.103600837656
t1206,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1207,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1208,0.0,0.0,0.0,1699.6021269148894,1699.6021269148894
t1209,0.0,0.0,0.0,934.2085447458217,934.2085447458217
t1210,0.0,0.0,0.0,6691.617335111852,6691.617335111852
t1211,0.0,0.0,0.0,6202.791076406211,6202.791076406211
t1212,0.0,0.0,0.0,7256.946272497823,7256.946272497823
t1213,0.0,0.0,0.0,6720.093271971182,6720.093271971182
t1214,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1215,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1216,0.0,0.0,0.0,0.0,0.0
t1217,0.0,0.0,0.0,0.0,0.0
t1218,0.0,0.0,0.0,0.0,0.0
t1219,0.0,0.0,0.0,1591.8396603995038,1591.8396603995038
t1220,0.0,0.0,0.0,2051.7060276980383,2051.7060276980383
t1221,0.0,0.0,0.0,0.0,0.0
