BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t218,20186.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11107.0
t219,3392.9176533874206,8324.41696748036,-755.3346208677812,0.0,0.0,0.0,0.0,0.0,0.0,-10962.0
t220,20037.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-10958.0
t221,7585.495065951481,6394.6282611983315,-2685.123327149812,0.0,0.0,0.0,0.0,0.0,0.0,-11295.0
t222,17562.174175784083,1929.7887062820305,-7149.962882066113,0.0,0.0,0.0,0.0,0.0,0.0,-12342.0
t223,13619.472938082512,4856.639325132816,-4223.112263215327,0.0,0.0,0.0,0.0,0.0,0.0,-14253.0
t224,11890.32026629415,6173.215661026998,-2906.535927321146,0.0,0.0,0.0,0.0,0.0,0.0,-15157.0
t225,17034.1742788432,3630.7886547524718,-5448.9629335956715,0.0,0.0,0.0,0.0,0.0,0.0,-15216.0
t226,15675.99510451488,4285.878241916631,-4793.873346431513,0.0,0.0,0.0,0.0,0.0,0.0,-15168.0
t227,13799.64047682127,5210.555555763436,-3869.196032584707,0.0,0.0,0.0,0.0,0.0,0.0,-15141.0
t228,15169.814885581913,4459.968351383115,-4619.783236965028,0.0,0.0,0.0,0.0,0.0,0.0,-15010.0
t229,15033.166341998081,4441.792623175031,-4637.958965173112,0.0,0.0,0.0,0.0,0.0,0.0,-14837.0
t230,18430.758881269467,2676.4963535393395,-6403.255234808804,0.0,0.0,0.0,0.0,0.0,0.0,-14704.0
t231,17824.113311055116,2897.319138646514,-6182.43244970163,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t232,15735.221090829458,3901.765248759343,-5177.986339588801,0.0,0.0,0.0,0.0,0.0,0.0,-14459.0
t233,17343.00325425556,3249.8741670462914,-5829.877421301851,0.0,0.0,0.0,0.0,0.0,0.0,-14763.0
t234,13667.004464101126,2235.9955358988755,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15903.0
t235,16335.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16335.0
